Emp_ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
HP848558,0.38,0.53,2,157,3,0,1,0,sales,low
XI670193,0.8,0.86,5,262,6,0,1,0,sales,medium
JL543548,0.11,0.88,7,272,4,0,1,0,sales,medium
DF138032,0.72,0.87,5,223,5,0,1,0,sales,low
KD453613,0.37,0.52,2,159,3,0,1,0,sales,low
KO422903,0.41,0.5,2,153,3,0,1,0,sales,low
FW235153,0.1,0.77,6,247,4,0,1,0,sales,low
PM398038,0.92,0.85,5,259,5,0,1,0,sales,low
VT703874,0.89,1,5,224,5,0,1,0,sales,low
PY997205,0.42,0.53,2,142,3,0,1,0,sales,low
AW259487,0.45,0.54,2,135,3,0,1,0,sales,low
TE993608,0.11,0.81,6,305,4,0,1,0,sales,low
TV855164,0.84,0.92,4,234,5,0,1,0,sales,low
IR916449,0.41,0.55,2,148,3,0,1,0,sales,low
IJ926947,0.36,0.56,2,137,3,0,1,0,sales,low
ZD833089,0.38,0.54,2,143,3,0,1,0,sales,low
QS618570,0.45,0.47,2,160,3,0,1,0,sales,low
YS930392,0.78,0.99,4,255,6,0,1,0,sales,low
MG475405,0.45,0.51,2,160,3,1,1,1,sales,low
XC167625,0.76,0.89,5,262,5,0,1,0,sales,low
UV331900,0.11,0.83,6,282,4,0,1,0,sales,low
BZ952201,0.38,0.55,2,147,3,0,1,0,sales,low
MD530163,0.09,0.95,6,304,4,0,1,0,sales,low
ZU802076,0.46,0.57,2,139,3,0,1,0,sales,low
UU669415,0.4,0.53,2,158,3,0,1,0,sales,low
ZV219385,0.89,0.92,5,242,5,0,1,0,sales,low
CZ407828,0.82,0.87,4,239,5,0,1,0,sales,low
JH315624,0.4,0.49,2,135,3,0,1,0,sales,low
XK321319,0.41,0.46,2,128,3,0,1,0,accounting,low
CC878229,0.38,0.5,2,132,3,0,1,0,accounting,low
XC232315,0.09,0.62,6,294,4,0,1,0,accounting,low
ZK652595,0.45,0.57,2,134,3,0,1,0,hr,low
MV336052,0.4,0.51,2,145,3,0,1,0,hr,low
MA310143,0.45,0.55,2,140,3,0,1,0,hr,low
UF526294,0.84,0.87,4,246,6,0,1,0,hr,low
NU713585,0.1,0.94,6,255,4,0,1,0,technical,low
GD677624,0.38,0.46,2,137,3,0,1,0,technical,low
LR547098,0.45,0.5,2,126,3,0,1,0,technical,low
BX338692,0.11,0.89,6,306,4,0,1,0,technical,low
UB730856,0.41,0.54,2,152,3,0,1,0,technical,low
LS689780,0.87,0.88,5,269,5,0,1,0,technical,low
UB956102,0.45,0.48,2,158,3,0,1,0,technical,low
FL800249,0.4,0.46,2,127,3,0,1,0,technical,low
KG803483,0.1,0.8,7,281,4,0,1,0,technical,low
RG245889,0.09,0.89,6,276,4,0,1,0,technical,low
UK938384,0.84,0.74,3,182,4,0,1,0,technical,low
SH154970,0.4,0.55,2,147,3,0,1,0,support,low
IR215567,0.57,0.7,3,273,6,0,1,0,support,low
OL832435,0.4,0.54,2,148,3,0,1,0,support,low
XP729407,0.43,0.47,2,147,3,0,1,0,support,low
DV454843,0.13,0.78,6,152,2,0,1,0,support,low
HQ210656,0.44,0.55,2,135,3,0,1,0,support,low
CK802364,0.38,0.55,2,134,3,0,1,0,support,low
YC391874,0.39,0.54,2,132,3,0,1,0,support,low
RK533956,0.1,0.92,7,307,4,0,1,0,support,low
XT518508,0.37,0.46,2,140,3,0,1,0,support,low
NZ368480,0.11,0.94,7,255,4,0,1,0,support,low
PE209909,0.1,0.81,6,309,4,0,1,0,technical,low
UU318976,0.38,0.54,2,128,3,0,1,0,technical,low
OG977723,0.85,1,4,225,5,0,1,0,technical,low
WN307068,0.85,0.91,5,226,5,0,1,0,management,medium
HZ892482,0.11,0.93,7,308,4,0,1,0,IT,medium
ET783261,0.1,0.95,6,244,5,0,1,0,IT,medium
JD607746,0.36,0.56,2,132,3,0,1,0,IT,medium
FJ458864,0.11,0.94,6,286,4,0,1,0,IT,medium
RK810320,0.81,0.7,6,161,4,0,1,0,IT,medium
WB635096,0.43,0.54,2,153,3,0,1,0,product_mng,medium
OI845922,0.9,0.98,4,264,6,0,1,0,product_mng,medium
MQ452765,0.76,0.86,5,223,5,1,1,0,product_mng,medium
IF603259,0.43,0.5,2,135,3,0,1,0,product_mng,medium
QM897784,0.74,0.99,2,277,3,0,1,0,IT,medium
DL428623,0.09,0.77,5,275,4,0,1,0,product_mng,medium
XU686401,0.45,0.49,2,149,3,0,1,0,product_mng,high
BV799031,0.09,0.87,7,295,4,0,1,0,product_mng,low
PK612745,0.11,0.97,6,277,4,0,1,0,product_mng,medium
VS549301,0.11,0.79,7,306,4,0,1,0,product_mng,medium
TL769395,0.1,0.83,6,295,4,0,1,0,product_mng,medium
MD200866,0.4,0.54,2,137,3,0,1,0,marketing,medium
MX876744,0.43,0.56,2,157,3,0,1,0,sales,low
CU302313,0.39,0.56,2,142,3,0,1,0,accounting,low
RL990735,0.45,0.54,2,140,3,0,1,0,support,low
ZC305534,0.38,0.49,2,151,3,0,1,0,technical,low
FL585274,0.79,0.59,4,139,3,0,1,1,management,low
PW252465,0.84,0.85,4,249,6,0,1,0,marketing,low
XX771291,0.11,0.77,6,291,4,0,1,0,marketing,low
VJ808244,0.11,0.87,6,305,4,0,1,0,marketing,low
ZO225113,0.17,0.84,5,232,3,0,1,0,sales,low
YL861821,0.44,0.45,2,132,3,0,1,0,sales,low
LM425808,0.37,0.57,2,130,3,0,1,0,sales,low
WJ380841,0.1,0.79,6,291,4,0,1,0,sales,low
AF263396,0.4,0.5,2,130,3,0,1,0,sales,low
BV873599,0.89,1,5,246,5,0,1,0,sales,low
PG762614,0.42,0.48,2,143,3,0,1,0,sales,low
OI206784,0.46,0.55,2,129,3,0,1,0,sales,low
PV357889,0.09,0.83,6,255,4,0,1,0,sales,low
MP486477,0.37,0.51,2,155,3,0,1,0,sales,low
IT471706,0.1,0.77,6,265,4,0,1,0,sales,low
XE572574,0.1,0.84,6,279,4,0,1,0,sales,low
LH316850,0.11,0.97,6,284,4,0,1,0,sales,low
HV875183,0.9,1,5,221,6,0,1,0,sales,medium
WP845342,0.38,0.52,2,154,3,0,1,0,sales,medium
XG973844,0.36,0.52,2,147,3,0,1,0,sales,medium
OO840147,0.42,0.46,2,150,3,0,1,0,sales,medium
AA928436,0.09,0.94,7,267,4,0,1,0,sales,medium
YM359393,0.43,0.52,2,158,3,0,1,0,sales,medium
FR445679,0.24,0.46,7,224,5,0,1,0,accounting,medium
QT556479,0.91,1,4,257,5,0,1,0,accounting,medium
ON540521,0.44,0.5,2,148,3,0,1,0,accounting,medium
PP365259,0.71,0.87,3,177,4,0,1,0,hr,medium
RP307880,0.4,0.49,2,155,3,0,1,0,hr,medium
BE593790,0.43,0.47,2,144,3,0,1,0,hr,medium
NV877137,0.09,0.85,6,289,4,0,1,0,hr,high
VE386786,0.43,0.52,2,160,3,0,1,0,technical,low
VK184938,0.9,0.96,4,258,5,0,1,0,technical,medium
MY306799,0.84,1,5,234,5,0,1,0,technical,medium
GW386359,0.37,0.48,2,137,3,0,1,0,technical,medium
DN990325,0.86,0.68,5,263,2,0,1,0,technical,medium
LR870907,0.11,0.84,6,251,4,0,1,0,technical,low
AN950351,0.37,0.57,2,133,3,0,1,0,technical,low
QZ807501,0.4,0.46,2,132,3,0,1,0,technical,low
AB742715,0.14,0.62,4,158,4,1,1,0,technical,low
AZ824299,0.4,0.46,2,135,3,0,1,0,technical,low
VC545516,0.75,1,4,216,6,0,1,0,technical,low
KO162830,0.11,0.84,6,300,5,1,1,0,support,low
FU942252,0.46,0.49,2,138,3,0,1,0,support,low
EM397692,0.11,0.92,6,260,4,0,1,0,support,low
UK808094,0.38,0.49,2,132,3,0,1,0,support,low
PE504786,0.7,0.89,3,183,5,0,1,0,support,low
DR216998,0.09,0.82,6,250,4,0,1,0,support,low
WA478621,0.37,0.45,2,151,3,0,1,0,support,low
UB693777,0.1,0.83,6,292,4,0,1,0,support,low
JF364911,0.38,0.57,2,140,3,0,1,0,support,low
PM337499,0.9,1,5,221,5,0,1,0,support,low
XW954883,0.44,0.51,2,138,3,0,1,0,support,low
NR755982,0.36,0.5,2,132,3,0,1,0,technical,low
IW852179,0.31,0.84,7,133,5,0,1,0,technical,low
BD591315,0.1,0.84,6,283,4,1,1,0,technical,low
UI336722,0.42,0.48,2,129,3,0,1,0,management,low
OA222391,0.74,1,4,249,5,0,1,0,IT,low
PT996293,0.73,0.87,5,257,5,0,1,0,IT,low
PS183266,0.09,0.96,6,245,4,0,1,0,IT,low
RW230241,0.45,0.53,2,155,3,0,1,0,IT,low
FV526253,0.11,0.8,6,256,4,0,1,0,IT,low
JQ960283,0.37,0.47,2,152,3,0,1,0,product_mng,low
MV409296,0.84,0.99,4,267,5,0,1,0,product_mng,low
QS313319,0.41,0.46,2,151,3,0,1,0,product_mng,low
AL866897,0.76,0.92,4,239,5,0,1,0,product_mng,low
HV564300,0.11,0.87,6,306,4,0,1,0,IT,low
TX670209,0.84,0.88,4,263,5,1,1,0,marketing,low
NK983855,0.39,0.5,2,147,3,0,1,0,marketing,low
YJ948717,0.11,0.91,6,278,4,0,1,0,marketing,low
UW173990,0.45,0.56,2,154,3,0,1,0,marketing,low
VG392749,0.37,0.52,2,143,3,0,1,0,marketing,low
BR583673,0.4,0.52,2,155,3,0,1,0,marketing,low
AD856872,0.39,0.48,2,160,3,0,1,0,sales,low
OU165437,0.11,0.8,6,304,4,0,1,0,accounting,low
VZ224393,0.83,1,5,240,5,0,1,0,support,low
TP138595,0.11,0.92,6,305,4,0,1,0,technical,low
QP499243,0.39,0.5,2,136,3,0,1,0,management,low
JD395982,0.45,0.45,2,132,3,0,1,0,marketing,low
KJ968515,0.1,0.95,7,301,4,0,1,0,marketing,low
IF598190,0.9,0.98,5,243,6,0,1,0,marketing,low
TI887078,0.45,0.51,2,147,3,0,1,0,sales,low
EP819286,0.79,0.89,5,239,5,0,1,0,sales,low
EB598478,0.9,0.99,5,260,5,0,1,0,sales,low
QK251380,0.11,0.84,7,296,4,0,1,0,sales,low
QG269221,0.43,0.55,2,129,3,0,1,0,sales,low
IC942425,0.31,0.54,5,132,5,0,1,0,sales,low
CY934745,0.32,0.5,2,135,5,0,1,0,sales,low
OD765456,0.45,0.57,2,158,3,0,1,0,sales,low
LU928582,0.81,0.99,4,259,5,0,1,0,sales,low
KJ890269,0.41,0.46,2,160,3,0,1,1,sales,low
WI841201,0.11,0.78,7,278,4,0,1,0,sales,low
EB911144,0.1,0.88,6,284,4,0,1,0,sales,low
UG309552,0.7,0.53,2,274,4,0,1,0,sales,low
ZY236368,0.54,0.74,4,164,2,0,1,0,sales,low
YT674574,0.41,0.48,2,148,3,0,1,0,sales,low
